accuracy_pct,99.81975933532803
avg_dollar_error,0.4776872442376597
bias,0,-0.006601837726530591
bias,1,-0.005797414081628429
bias,2,-0.0052702088115089895
bias,3,-0.004915869806072134
bias,4,-0.004612851327548466
bias,5,-0.0043902398319952355
bias,6,-0.004215102398485917
bias,7,-0.0040253179250129365
bias,8,-0.0038435291811058083
bias,9,-0.0037291809223548426
w,0,123,0.00007431195767438042
w,0,124,-0.0003721938967905522
w,0,125,-0.0021553078924488344
w,0,126,0.00020665316722278776
w,0,127,0.00014308967946069205
w,0,128,0.00012863686386652552
w,0,129,0.000131796585668516
w,0,130,0.00020578252506000527
w,0,131,-0.00047497460150876236
w,0,132,-0.0022374970600192315
w,0,133,0.00025756173353493403
w,0,134,0.0001974815027425203
w,0,135,0.00007068321356001496
w,0,136,0.00017466235309851488
w,0,137,0.000002223844802867255
w,0,138,-0.0020084104364156176
w,0,139,-0.002273788777234224
w,0,140,0.00023645421629410216
w,0,141,0.0002300385974005288
w,0,142,0.0002511746300180993
w,0,143,0.0002801049381227518
w,0,144,0.00014555543714464498
w,0,145,-0.0008627137094770146
w,0,146,-0.002834685203338504
w,0,147,0.00034221504742563356
w,0,148,0.00025381304090129817
w,0,149,0.00029898111261255787
w,0,150,0.00034284702684939545
w,0,151,0.00032021107134024
w,0,152,-0.0010881457747091803
w,0,153,-0.0019776112395608492
w,0,154,0.0003171658257615983
w,0,155,0.0003007343586316143
w,0,156,0.00030894328757233915
w,0,157,0.00034831216883637585
w,0,158,0.0002502481153253562
w,0,159,-0.0010195202328974618
w,0,160,-0.002729831979080812
w,0,161,0.0003500450750062468
w,0,162,0.00030200001485524965
w,0,163,0.00026659791509012524
w,0,164,0.0003160999740977722
w,0,165,0.0003848609755889171
w,0,166,-0.0011747663540892352
w,0,167,-0.0023993653665565604
w,0,168,0.00040878529746261357
w,0,169,0.00036152124391744897
w,0,170,0.0003884847539340052
w,0,171,0.0004388986956183436
w,0,172,0.0003780576808450178
w,0,173,-0.0011848708792853817
w,0,174,-0.002407398594703083
w,0,175,0.0005051475419401118
w,0,176,0.0004025084501514278
w,0,177,0.00037624058705888904
w,0,178,0.0004171839722103573
w,0,179,0.00027705077200882496
w,0,180,-0.00104137032620329
w,0,181,-0.001828461083452602
w,0,182,0.0005117270483705963
w,0,183,0.0004911673702789744
w,0,184,0.00043906638948247427
w,0,185,0.0004323479208973488
w,0,186,0.00028537377310428394
w,0,187,-0.00031535687049568035
w,0,188,-0.002686260382590128
w,0,189,0.0004538881393713623
w,0,190,0.0004478740017187386
w,0,191,0.00036787681772816806
w,0,192,0.00043473155865981133
w,0,193,0.00021263688602915766
w,0,194,-0.0014352741128999561
w,0,195,-0.0028384032540663905
w,0,196,0.0004602857808521756
w,0,197,0.00044973907297013606
w,0,198,0.00042502779307792817
w,0,199,0.000444233308092807
w,0,200,0.0001066024757035025
w,0,201,-0.0007096270387120749
w,0,202,-0.0027910192032479424
